candidate,mode,subset,score,score_percent
vgg_r12,2afc,val/traditional,0.6054237288785941,60.54237288785941
vgg_r12,2afc,val/cnn,0.8167161024096659,81.67161024096659
vgg_r12,2afc,val/color,0.6064830521184762,60.64830521184762
vgg_r12,jnd,val/traditional,0.3976562862640735,39.76562862640735
vgg_r12,jnd,val/cnn,0.6658099914766804,66.58099914766804
vgg_r22,2afc,val/traditional,0.6238559322557965,62.38559322557965
vgg_r22,2afc,val/cnn,0.7918432209072477,79.18432209072476
vgg_r22,2afc,val/color,0.5683050858993399,56.83050858993399
vgg_r22,jnd,val/traditional,0.4039836240945314,40.39836240945314
vgg_r22,jnd,val/cnn,0.6590421221773759,65.9042122177376
vgg_r33,2afc,val/traditional,0.6669491528738606,66.69491528738605
vgg_r33,2afc,val/cnn,0.7895550853115018,78.95550853115017
vgg_r33,2afc,val/color,0.5618644076604712,56.18644076604712
vgg_r33,jnd,val/traditional,0.4489079742728389,44.89079742728389
vgg_r33,jnd,val/cnn,0.6531334729436109,65.3133472943611
vgg_r43,2afc,val/traditional,0.7364830515236925,73.64830515236925
vgg_r43,2afc,val/cnn,0.8054872887619471,80.5487288761947
vgg_r43,2afc,val/color,0.5951694925363034,59.51694925363034
vgg_r43,jnd,val/traditional,0.5333240511127557,53.33240511127557
vgg_r43,jnd,val/cnn,0.6655346642937412,66.55346642937413
vgg_multi_123,2afc,val/traditional,0.632457627302383,63.2457627302383
vgg_multi_123,2afc,val/cnn,0.8142584753680532,81.42584753680532
vgg_multi_123,2afc,val/color,0.5950847470248908,59.50847470248908
vgg_multi_123,jnd,val/traditional,0.4193025493647534,41.93025493647534
vgg_multi_123,jnd,val/cnn,0.6736656092626154,67.36656092626154
lpips_vgg,2afc,val/traditional,0.733644068440012,73.3644068440012
lpips_vgg,2afc,val/cnn,0.8219703396687569,82.1970339668757
lpips_vgg,2afc,val/color,0.6161864420904194,61.61864420904194
lpips_vgg,jnd,val/traditional,0.5231098671816553,52.31098671816553
lpips_vgg,jnd,val/cnn,0.675743936861407,67.5743936861407
lpips_alex,2afc,val/traditional,0.7462,74.62
lpips_alex,2afc,val/cnn,0.8337,83.37
lpips_alex,2afc,val/color,0.6547,65.47
lpips_vgg,jnd,val/traditional,0.3333,33.33
lpips_vgg,jnd,val/cnn,0.3333,33.33